MGR_RUNID,HL_DATE,HL_MARKET,Cntr,Region,Market,SubNetwork_2,PERIOD_START_TIME,PERIOD_DURATION,MeContext,UtranCell,pmAttNonBlindInterFreqHoCsSpeech12,pmCellDowntimeAuto,pmCellDowntimeMan,pmChSwitchAttemptUraFach,pmChSwitchSuccUraFach,pmDlTrafficVolumePs128,pmDlTrafficVolumePs16,pmDlTrafficVolumePs384,pmDlTrafficVolumePs64,pmDlTrafficVolumePs8,pmDlTrafficVolumePsCommon,pmDlTrafficVolumePsIntHs,pmDlTrafficVolumePsStr128,pmDlTrafficVolumePsStr16,pmDlTrafficVolumePsStr64,pmFailNonBlindInterFreqHoFailRevertCsSpeech12,pmNoDirRetryAtt,pmNoLoadSharingRrcConnCs,pmNoLoadSharingRrcConnPs,pmNoNormalNasSignReleaseCs,pmNoNormalRabReleaseSpeech,pmNoRabEstablishAttemptSpeech,pmNoRabEstablishSuccessSpeech,pmNoRabEstablishAttemptPacketInteractive,pmNoRabEstablishSuccessPacketInteractive,pmNoSysRelSpeechNeighbr,pmNoSystemNasSignReleaseCs,pmNoSystemRabReleaseSpeech,pmNoTimesCellFailAddToActSet,pmSamplesDchDlRlcUserPacketThp,pmSamplesHsDlRlcUserPacketThp,pmSamplesUlRssi,pmSuccNonBlindInterFreqHoCsSpeech12,pmSumBestAmr12200RabEstablish,pmSumBestAmr4750RabEstablish,pmSumBestAmr5900RabEstablish,pmSumBestAmr7950RabEstablish,pmSumBestAmrNbMmRabEstablish,pmSumBestAmrWbRabEstablish,pmSumBestCs12Establish,pmSumDchDlRlcUserPacketThp,pmSumHsDlRlcUserPacketThp,pmSumUlRssi,pmTotNoRrcConnectReqCs,pmTotNoRrcConnectReqCsSucc,pmTotNoRrcConnectReqPs,pmTotNoRrcConnectReqPsSucc
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06511A21,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,90,0,0,0,0,0,0,0,0,0,701,4081,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06049C32,0,0,0,27,27,0,0,0,0,0,181,1776,0,0,0,0,0,0,0,1,2,1,1,7,7,0,0,0,0,59,162,90,0,0,0,0,0,0,0,267,186,17115,5036,2,2,6,6
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06417B22,0,0,0,77,77,0,0,0,0,0,692,27433,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,202,2277,90,0,0,0,0,0,0,0,15,668,267036,5841,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06300A21,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,7,90,0,0,0,0,0,0,0,0,0,25,4068,0,0,10,10
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06810D22,0,0,0,18,18,0,0,0,0,0,70,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,83,90,0,0,0,0,0,0,0,0,61,6711,4954,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06675D32,0,0,0,34,34,0,0,0,0,0,285,41329,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59,1244,90,0,0,0,0,0,0,0,0,138,404610,3699,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ05956A21,0,0,0,27,27,0,0,0,0,0,205,11741,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,57,1313,90,0,0,0,0,0,0,0,0,217,113178,5849,0,0,2,2
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06044A11,0,0,0,2,2,0,0,0,0,0,40,1943,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,44,90,0,0,0,0,0,52,0,0,44,18428,6031,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06924A31,0,0,0,130,130,0,0,0,0,0,439,406487,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,127,18548,90,0,0,0,0,0,0,0,165,360,3630504,6022,0,0,27,27
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06630A21,0,0,0,41,41,0,0,0,53,0,267,43083,0,0,0,0,0,0,0,2,1,2,2,21,20,0,0,0,0,73,2330,90,0,0,0,0,0,2,0,130,263,364608,4844,1,1,15,13
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06080C32,0,0,0,8,8,0,0,0,0,0,37,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,69,90,0,0,0,0,0,0,0,0,41,12180,5121,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06004A22,0,0,0,15,15,0,0,0,0,0,51,182,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,22,90,0,0,0,0,0,0,0,5,44,1733,4954,0,0,0,0
